Rank,ReleaseDate,Name,Budget,Domestic,Worldwide,Year
1,2009-12-18,Avatar,425000000.0,760507625,2783918982,2009
2,2007-05-24,Pirates of the Caribbean: At World's End,300000000.0,309420425,960996492,2007
3,2012-07-20,The Dark Knight Rises,275000000.0,448139099,1079343943,2012
4,2013-07-02,The Lone Ranger,275000000.0,89289910,259989910,2013
5,2012-03-09,John Carter,275000000.0,73058679,282778100,2012
6,2010-11-24,Tangled,260000000.0,200821936,586581936,2010
7,2007-05-04,Spider-Man 3,258000000.0,336530303,890875303,2007
8,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568,1014703568,2012
9,2009-07-15,Harry Potter and the Half-Blood Prince,250000000.0,301959197,934416487,2009
10,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855,950466855,2013
11,2011-05-20,Pirates of the Caribbean: On Stranger Tides,250000000.0,241063875,1043663875,2011
12,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,0,0,2014
13,2006-06-28,Superman Returns,232000000.0,200120000,390874000,2006
14,2008-11-14,Quantum of Solace,230000000.0,169368427,591692078,2008
15,2012-05-04,The Avengers,225000000.0,623279547,1514279547,2012
16,2006-07-07,Pirates of the Caribbean: Dead Man's Chest,225000000.0,423315812,1060615812,2006
17,2013-06-14,Man of Steel,225000000.0,291045518,667999518,2013
18,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000.0,141621490,419490286,2008
19,2012-07-03,The Amazing Spider-Man,220000000.0,262030663,757890267,2012
20,2012-05-25,Men in Black 3,215000000.0,179020854,624821154,2012
21,2009-06-24,Transformers: Revenge of the Fallen,210000000.0,402111870,836519699,2009
22,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076,1081139076,2014
23,2006-05-26,X-Men: The Last Stand,210000000.0,234362462,459359555,2006
24,2010-05-14,Robin Hood,210000000.0,105487148,322459006,2010
25,2012-05-18,Battleship,209000000.0,65235400,304150372,2012
26,2005-12-14,King Kong,207000000.0,218080025,550517357,2005
27,2007-12-01,The Golden Compass,205000000.0,70107728,372234864,2007
28,1997-12-17,Titanic,200000000.0,658672302,2207615668,1997
29,2010-06-18,Toy Story 3,200000000.0,415004880,1063759456,2010
30,2013-05-03,Iron Man 3,200000000.0,408992272,1212692272,2013
31,2004-06-30,Spider-Man 2,200000000.0,373524485,783705001,2004
32,2010-03-05,Alice in Wonderland,200000000.0,334191110,1024391110,2010
33,2012-11-08,Skyfall,200000000.0,304360277,1108694081,2012
34,2013-06-21,Monsters University,200000000.0,268488329,743588329,2013
35,2013-03-08,Oz the Great and Powerful,200000000.0,234770996,489570996,2013
36,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534,744321534,2014
37,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933,708996336,2014
38,2011-06-24,Cars 2,200000000.0,191450875,560155383,2011
39,2010-12-17,Tron: Legacy,200000000.0,172062763,397562763,2010
40,2009-11-13,2012,200000000.0,166112167,788408539,2009
41,2009-05-21,Terminator Salvation: The Future Begins,200000000.0,125322469,371628539,2009
42,2011-06-17,Green Lantern,200000000.0,116601172,231201172,2011
43,2010-05-28,Prince of Persia: Sands of Time,200000000.0,90759676,335059676,2010
44,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543,1123794076,2011
45,2013-03-01,Jack the Giant Slayer,195000000.0,65187603,197387603,2013
46,2013-05-15,Star Trek Into Darkness,190000000.0,228778661,466978661,2013
47,2013-06-21,World War Z,190000000.0,202359711,539559711,2013
48,2013-05-10,The Great Gatsby,190000000.0,144840419,351040419,2013
49,2009-11-06,Disney's A Christmas Carol,190000000.0,137855863,323743744,2009
50,2013-07-12,Pacific Rim,190000000.0,101802906,411002906,2013
51,2006-11-04,A Christmas Carol,190000000.0,0,177853834,2006
52,2008-05-02,Iron Man,186000000.0,318604126,582443126,2008
53,2008-07-18,The Dark Knight,185000000.0,533345358,1002891358,2008
54,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317023851,786558145,2008
55,2012-06-22,Brave,185000000.0,237282182,554606532,2012
56,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957,748806957,2005
57,2014-05-30,Maleficent,180000000.0,241286891,751286891,2014
58,2008-06-27,WALL-E,180000000.0,223808164,532590994,2008
59,2007-08-10,Rush Hour 3,180000000.0,140125968,253025968,2007
60,2011-11-23,Hugo,180000000.0,73864507,185033215,2011
61,2014-06-06,Edge of Tomorrow,178000000.0,100206256,364406256,2014
62,2009-05-29,Up,175000000.0,293004164,731542621,2009
63,2009-03-27,Monsters vs. Aliens,175000000.0,198351526,381687380,2009
64,2009-08-07,G.I. Joe: The Rise of Cobra,175000000.0,150201498,302469017,2009
65,1999-06-30,Wild Wild West,175000000.0,113805681,221229335,1999
66,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776,405760225,2008
67,2007-06-22,Evan Almighty,175000000.0,100289690,173219280,2007
68,1995-07-28,Waterworld,175000000.0,88246220,264246220,1995
69,2013-12-25,47 Ronin,175000000.0,38362475,151547799,2013
70,2012-12-31,Singularity,175000000.0,0,0,2012
71,2014-08-01,Guardians of the Galaxy,170000000.0,329805224,767805224,2014
72,2010-05-07,Iron Man 2,170000000.0,312433331,623561331,2010
73,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958,713846958,2014
74,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208490841,703490841,2014
75,2013-11-08,Thor: The Dark World,170000000.0,206360018,633360018,2013
76,2004-11-10,The Polar Express,170000000.0,194949659,319049659,2004
77,2012-06-01,Snow White and the Huntsman,170000000.0,155136755,400942064,2012
78,2003-07-01,Terminator 3: Rise of the Machines,170000000.0,150358296,433058296,2003
79,2004-05-07,Van Helsing,170000000.0,120150546,300150546,2004
80,2010-05-21,Shrek Forever After,165000000.0,238736787,756244673,2010
81,2010-03-26,How to Train Your Dragon,165000000.0,217581231,494870991,2010
82,2012-11-02,Wreck-It Ralph,165000000.0,189412677,473412677,2012
83,2014-10-25,Big Hero 6,165000000.0,75643891,98643891,2014
84,2014-11-05,Interstellar,165000000.0,68619855,189719855,2014
85,2011-07-29,Cowboys and Aliens,163000000.0,100240551,175910315,2011
86,2007-05-17,Shrek the Third,160000000.0,322719944,807330936,2007
87,2010-07-16,Inception,160000000.0,292576195,832584416,2010
88,2013-05-24,Fast and Furious 6,160000000.0,238679850,789952811,2013
89,2014-05-16,Godzilla,160000000.0,200672193,508172193,2014
90,2011-06-03,X-Men: First Class,160000000.0,146408305,355408305,2011
91,2008-12-25,The Curious Case of Benjamin Button,160000000.0,127509326,329809326,2008
92,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991,215150991,2010
93,2006-05-12,Poseidon,160000000.0,60674817,181674817,2006
94,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950,418186950,2010
95,2004-11-24,Alexander,155000000.0,34297191,167297191,2004
96,2001-05-25,Pearl Harbor,151500000.0,198539855,449239855,2001
97,2007-07-02,Transformers,151000000.0,319246193,708272592,2007
98,2013-11-22,Frozen,150000000.0,400737000,1267837000,2013
99,2007-07-11,Harry Potter and the Order of the Phoenix,150000000.0,292004738,942943935,2007
100,2005-11-18,Harry Potter and the Goblet of Fire,150000000.0,290013036,896911078,2005
101,2007-12-14,I am Legend,150000000.0,256393010,585410052,2007
102,2008-07-01,Hancock,150000000.0,227946274,624346274,2008
103,2005-07-15,Charlie and the Chocolate Factory,150000000.0,206459076,474459076,2005
104,2007-06-29,Ratatouille,150000000.0,206445654,626549695,2007
105,2005-06-15,Batman Begins,150000000.0,205343774,373298774,2005
106,2011-05-06,Thor,150000000.0,181030624,449326618,2011
107,2008-11-07,Madagascar: Escape 2 Africa,150000000.0,180010950,599516844,2008
108,2009-05-01,X-Men Origins: Wolverine,150000000.0,179883157,374825760,2009
109,2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000.0,177243721,413054631,2009
110,2011-05-26,Kung Fu Panda 2,150000000.0,165249063,664837547,2011
111,2006-05-05,Mission: Impossible III,150000000.0,133501348,397501348,2006
112,2009-05-15,Angels & Demons,150000000.0,133375846,490875846,2009
113,2004-05-14,Troy,150000000.0,133298577,484161265,2004
114,2010-07-01,The Last Airbender,150000000.0,131772187,319713881,2010
115,2007-11-02,Bee Movie,150000000.0,126631277,287594577,2007
116,2009-07-24,G-Force,150000000.0,119436770,287389685,2009
117,2008-11-21,Bolt,150000000.0,114053759,313953759,2008
118,2012-03-30,Wrath of the Titans,150000000.0,83670083,301970083,2012
119,2007-11-16,Beowulf,150000000.0,82195215,194995215,2007
120,2012-05-11,Dark Shadows,150000000.0,79727149,236527149,2012
121,2013-06-28,White House Down,150000000.0,73103784,205440387,2013
122,2010-02-12,The Wolfman,150000000.0,62189884,142634358,2010
123,2011-03-11,Mars Needs Moms,150000000.0,21392758,39549758,2011
124,2006-11-03,Flushed Away,149000000.0,64665672,177665672,2006
125,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,216391482,746921271,2012
126,2011-12-16,Mission: Impossible - Ghost Protocol,145000000.0,209397903,694713230,2011
127,2014-06-13,How to Train Your Dragon 2,145000000.0,176834091,615934091,2014
128,1999-06-16,Tarzan,145000000.0,171091819,448191819,1999
129,2014-03-07,Mr. Peabody & Sherman,145000000.0,111506430,269806430,2014
130,2012-11-21,Rise of the Guardians,145000000.0,103412758,306900902,2012
131,2005-04-08,Sahara,145000000.0,68671925,121671925,2005
132,2002-11-22,Die Another Day,142000000.0,160942139,431942139,2002
133,2009-05-08,Star Trek,140000000.0,257730019,385680446,2009
134,1998-07-01,Armageddon,140000000.0,201578182,554600000,1998
135,2002-07-03,Men in Black 2,140000000.0,190418803,441767803,2002
136,2011-07-22,Captain America: The First Avenger,140000000.0,176654505,370569776,2011
137,1998-07-10,Lethal Weapon 4,140000000.0,130444603,285400000,1998
138,2013-03-27,G.I. Joe: Retaliation,140000000.0,122523060,371923060,2013
139,2003-12-05,The Last Samurai,140000000.0,111110575,456810575,2003
140,2005-12-21,Fun With Dick And Jane,140000000.0,110550000,201798116,2005
141,2002-05-03,Spider-Man,139000000.0,403706375,821565375,2002
142,2009-03-06,Watchmen,138000000.0,107509799,184068357,2009
143,2005-07-29,Stealth,138000000.0,32116746,76416746,2005
144,2008-06-13,The Incredible Hulk,137500000.0,134806913,263417913,2008
145,2003-06-20,Hulk,137000000.0,132177234,245229234,2003
146,2001-07-11,Final Fantasy: The Spirits Within,137000000.0,32131830,85131830,2001
147,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",136200000.0,292324737,832660037,2012
148,2013-03-22,The Croods,135000000.0,187168425,573068425,2013
149,1999-11-19,The World is Not Enough,135000000.0,126930660,361730660,1999
150,2011-03-04,Rango,135000000.0,123257581,245504574,2011
151,2003-11-14,Master and Commander: The Far Side of the World,135000000.0,93926386,212912137,2003
152,2013-07-17,Turbo,135000000.0,83028130,283828130,2013
153,2011-11-18,Happy Feet Two,135000000.0,64006466,157956466,2011
154,2006-07-28,Miami Vice,135000000.0,63478838,163818556,2006
155,2005-06-29,War of the Worlds,132000000.0,234280354,606836535,2005
156,2013-11-22,The Hunger Games: Catching Fire,130000000.0,424668047,857668047,2013
157,2004-06-04,Harry Potter and the Prisoner of Azkaban,130000000.0,249538952,796688549,2004
158,2007-08-03,The Bourne Ultimatum,130000000.0,227471070,442161562,2007
159,2008-06-06,Kung Fu Panda,130000000.0,215434591,631910531,2008
160,2011-10-28,Puss in Boots,130000000.0,149260504,554987477,2011
161,2010-11-05,Megamind,130000000.0,148415853,321887208,2010
162,2003-07-18,Bad Boys II,130000000.0,138540870,272940870,2003
163,2014-04-11,Rio 2,130000000.0,131538435,493738435,2014
164,2010-07-23,Salt,130000000.0,118311368,295713467,2010
165,2014-03-28,Noah,130000000.0,101200044,356200044,2014
166,2011-12-21,The Adventures of Tintin,130000000.0,77591831,373993951,2011
167,2013-05-31,After Earth,130000000.0,60522097,244373198,2013
168,2008-11-26,Australia,130000000.0,49554002,215080810,2008
169,2013-07-19,R.I.P.D.,130000000.0,33618855,79067518,2013
170,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",127500000.0,281287133,709938657,2011
171,2000-05-19,Dinosaur,127500000.0,137748063,356148063,2000
172,2003-05-15,The Matrix Reloaded,127000000.0,281553689,738576929,2003
173,2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000.0,381011219,1328111219,2011
174,2001-11-16,Harry Potter and the Sorcerer's Stone,125000000.0,317575550,974755371,2001
175,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,125000000.0,305411224,634954103,2003
176,2010-11-19,Harry Potter and the Deathly Hallows: Part I,125000000.0,295983305,956399711,2010
177,2006-05-19,The Da Vinci Code,125000000.0,217536138,767820459,2006
178,2003-05-02,X2,125000000.0,214949694,407711549,2003
179,2011-04-29,Fast Five,125000000.0,209837675,629855611,2011
180,2014-08-08,Teenage Mutant Ninja Turtles,125000000.0,190977931,464177931,2014
181,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000.0,186848418,535698089,2011
182,2004-05-28,The Day After Tomorrow,125000000.0,186740799,556319450,2004
183,2010-04-01,Clash of the Titans,125000000.0,163214888,493214888,2010
184,1998-05-19,Godzilla,125000000.0,136314294,376000000,1998
185,2012-06-08,Prometheus,125000000.0,126477084,399005706,2012
186,2012-08-10,The Bourne Legacy,125000000.0,113203870,280332245,2012
187,1997-06-20,Batman & Robin,125000000.0,107325195,238317814,1997
188,2012-08-03,Total Recall,125000000.0,58877969,198615996,2012
189,1999-08-27,The 13th Warrior,125000000.0,32698899,61698899,1999
190,2000-11-17,How the Grinch Stole Christmas,123000000.0,260044825,345141403,2000
191,2000-05-24,Mission: Impossible 2,120000000.0,215409889,546209889,2000
192,2000-06-30,The Perfect Storm,120000000.0,182618434,328711434,2000
193,2007-06-15,Fantastic Four: Rise of the Silver Surfer,120000000.0,131921738,288215319,2007
194,2012-11-21,Life of Pi,120000000.0,124987022,607987022,2012
195,2007-02-16,Ghost Rider,120000000.0,115802596,237702596,2007
196,2003-06-27,Charlie's Angels: Full Throttle,120000000.0,100814328,227200000,2003
197,2013-08-09,Elysium,120000000.0,93050117,286192091,2013
198,2013-04-19,Oblivion,120000000.0,89107235,287627813,2013
199,2002-07-19,Stuart Little 2,120000000.0,64956806,166000000,2002
200,2014-02-12,RoboCop,120000000.0,58607007,242981799,2014
201,2004-06-11,The Chronicles of Riddick,120000000.0,57712751,107212751,2004
202,2008-05-09,Speed Racer,120000000.0,43945766,93394462,2008
203,2005-07-22,The Island,120000000.0,35818913,163018913,2005
204,2010-12-17,How Do You Know?,120000000.0,30212620,48668307,2010
205,2010-06-23,Knight and Day,117000000.0,76423035,262142047,2010
206,1999-05-19,Star Wars Ep. I: The Phantom Menace,115000000.0,474544677,1007044677,1999
207,2005-05-19,Star Wars Ep. III: Revenge of the Sith,115000000.0,380270577,848998877,2005
208,2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000.0,310676740,656695615,2002
209,2001-11-02,"Monsters, Inc.",115000000.0,289423425,559757719,2001
210,2013-07-26,The Wolverine,115000000.0,132556852,416456852,2013
211,1997-02-07,Dante's Peak,115000000.0,67163857,178200000,1997
212,2002-06-14,Windtalkers,115000000.0,40914068,77628265,2002
213,2008-07-04,Astérix aux Jeux Olympiques,113500000.0,999811,132999811,2008
214,2010-12-25,Gulliver's Travels,112000000.0,42779261,239179261,2010
215,2013-10-04,Gravity,110000000.0,274092705,716392705,2013
216,2006-12-22,Night at the Museum,110000000.0,250863268,574480841,2006
217,2005-06-10,Mr. And Mrs. Smith,110000000.0,186336279,478336279,2005
218,2011-07-29,The Smurfs,110000000.0,142614158,563066551,2011
219,2003-11-05,The Matrix Revolutions,110000000.0,139259759,424259759,2003
220,2007-06-27,Live Free or Die Hard,110000000.0,134529403,383531464,2007
221,2004-12-10,Ocean's Twelve,110000000.0,125531634,362989076,2004
222,1997-12-19,Tomorrow Never Dies,110000000.0,125304276,339504276,1997
223,2000-06-28,The Patriot,110000000.0,113330342,215300000,2000
224,2014-03-07,300: Rise of an Empire,110000000.0,106580051,330780051,2014
225,2004-12-17,The Aviator,110000000.0,102610330,208372395,2004
226,2011-01-14,The Green Hornet,110000000.0,98780042,227983150,2011
227,2005-05-06,Kingdom of Heaven,110000000.0,94690422,266145362,2005
228,2011-10-07,Real Steel,110000000.0,85463309,293237309,2011
229,2010-06-11,The A-Team,110000000.0,77222099,177241171,2010
230,2013-07-31,The Smurfs 2,110000000.0,71017784,348547523,2013
231,2009-06-12,The Taking of Pelham 123,110000000.0,65452312,152364370,2009
232,2013-11-01,Ender's Game,110000000.0,61737191,89737191,2013
233,2004-04-02,Home on the Range,110000000.0,50026353,76482461,2004
234,1997-06-13,Speed II: Cruise Control,110000000.0,48097081,150468000,1997
235,2004-06-16,Around the World in 80 Days,110000000.0,24004159,72004159,2004
236,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109000000.0,315544750,887217688,2001
237,2003-11-21,The Cat in the Hat,109000000.0,101018283,133818283,2003
238,2001-12-25,Ali,109000000.0,58183966,87683966,2001
239,2004-07-16,"I, Robot",105000000.0,144801023,348601023,2004
240,1999-12-17,Stuart Little,105000000.0,140015224,298800000,1999
241,2009-11-25,The Princess and the Frog,105000000.0,104400899,270997378,2009
242,2008-03-07,"10,000 B.C.",105000000.0,94784201,269065678,2008
243,2001-04-27,Town & Country,105000000.0,6712451,10364769,2001
244,2000-06-09,Gone in 60 Seconds,103300000.0,101643008,232643008,2000
245,2000-05-05,Gladiator,103000000.0,187683805,457683805,2000
246,2013-05-23,The Hangover 3,103000000.0,112200072,362000072,2013
247,2009-07-01,Public Enemies,102500000.0,97104620,210379983,2009
248,2006-11-17,Casino Royale,102000000.0,167365000,596365000,2006
249,2002-06-21,Minority Report,102000000.0,132024714,358824714,2002
250,2012-10-26,Cloud Atlas,102000000.0,27108272,126018564,2012
251,2002-11-15,Harry Potter and the Chamber of Secrets,100000000.0,261987880,878979634,2002
252,1991-07-02,Terminator 2: Judgment Day,100000000.0,204859496,516816151,1991
253,1995-06-16,Batman Forever,100000000.0,184031112,336529144,1995
254,2001-07-27,Planet of the Apes,100000000.0,180011740,362211740,2001
255,2004-11-19,National Treasure,100000000.0,173005002,347405002,2004
256,2012-12-25,Django Unchained,100000000.0,162805434,425373688,2012
257,2010-12-22,Little Fockers,100000000.0,148438600,310650574,2010
258,1994-07-15,True Lies,100000000.0,146282411,365300000,1994
259,2007-11-02,American Gangster,100000000.0,130164645,267985456,2007
260,2009-09-18,Cloudy with a Chance of Meatballs,100000000.0,124870275,236827677,2009
261,2010-08-06,The Other Guys,100000000.0,119219978,170936470,2010
262,2004-12-17,Lemony Snicket's A Series of Unfortunate Events,100000000.0,118627117,201627117,2004
263,2013-12-25,The Wolf of Wall Street,100000000.0,116900694,391976723,2013
264,2013-05-24,Epic,100000000.0,107518682,268418682,2013
265,1996-06-21,Eraser,100000000.0,101295562,234400000,1996
266,1996-06-21,The Hunchback of Notre Dame,100000000.0,100138851,325500000,1996
267,2000-12-15,The Emperor's New Groove,100000000.0,89296573,169296573,2000
268,2012-08-17,The Expendables 2,100000000.0,85028192,311979256,2012
269,2009-10-16,Where the Wild Things Are,100000000.0,77233467,99123656,2009
270,2006-12-15,Eragon,100000000.0,75030163,249488115,2006
271,2014-07-25,Hercules,100000000.0,72688614,242288614,2014
272,2010-12-10,The Tourist,100000000.0,67631157,278731369,2010
273,1999-11-24,End of Days,100000000.0,66889043,212026975,1999
274,2004-06-11,The Stepford Wives,100000000.0,59475623,96221971,2004
275,2007-06-08,Surf's Up,100000000.0,58867694,145395745,2007
276,2006-12-08,Blood Diamond,100000000.0,57377916,171377916,2006
277,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole 3D,100000000.0,55675313,139906561,2010
278,1997-11-07,Starship Troopers,100000000.0,54768952,121100000,1997
279,2009-06-05,Land of the Lost,100000000.0,49438370,69548641,2009
280,2003-12-25,Peter Pan,100000000.0,48417850,95255485,2003
281,2004-07-23,Catwoman,100000000.0,40202379,82145379,2004
282,2014-08-15,The Expendables 3,100000000.0,39322544,195322544,2014
283,2002-11-27,Treasure Planet,100000000.0,38120554,91800000,2002
284,2010-03-12,Green Zone,100000000.0,35497337,97523020,2010
285,2014-04-18,Transcendence,100000000.0,23022309,90022309,2014
286,2005-02-18,Son of the Mask,100000000.0,17018422,59918422,2005
287,1998-04-03,The Spanish Prisoner,100000000.0,10162034,13835130,1998
288,2002-08-16,The Adventures of Pluto Nash,100000000.0,4411102,7094995,2002
289,2011-12-21,Jin líng shí san chai,100000000.0,311434,93721434,2011
290,2001-05-04,The Mummy Returns,98000000.0,202007640,435040395,2001
291,2002-12-20,Gangs of New York,97000000.0,77730500,190400000,2002
292,2012-07-13,Ice Age: Continental Drift,95000000.0,161321843,879765137,2012
293,2001-12-28,Black Hawk Down,95000000.0,108638745,159691085,2001
294,2010-05-27,Sex and the City 2,95000000.0,95347692,294680778,2010
295,2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,95000000.0,88768303,226467130,2010
296,2010-11-12,Unstoppable,95000000.0,81562942,169511609,2010
297,1997-05-09,The Fifth Element,95000000.0,63570862,263900000,1997
298,2000-03-31,The Road to El Dorado,95000000.0,50802661,65700000,2000
299,2009-12-11,The Lovely Bones,95000000.0,44114232,94894448,2009
300,2003-05-30,Finding Nemo,94000000.0,380529370,906465556,2003
301,2003-12-17,The Lord of the Rings: The Return of the King,94000000.0,377845905,1141408667,2003
302,2002-12-18,The Lord of the Rings: The Two Towers,94000000.0,342548984,927048984,2002
303,2001-06-15,Lara Croft: Tomb Raider,94000000.0,131144183,274644183,2001
304,2001-07-18,Jurassic Park III,93000000.0,181166115,365900000,2001
305,2011-08-05,Rise of the Planet of the Apes,93000000.0,176760185,482860185,2011
306,2008-02-14,The Spiderwick Chronicles,92500000.0,71195053,162839667,2008
307,2004-11-05,The Incredibles,92000000.0,261441092,632107545,2004
308,2013-02-14,A Good Day to Die Hard,92000000.0,67349198,304249198,2013
309,2004-04-09,The Alamo,92000000.0,22406362,23911362,2004
310,1995-12-22,Cutthroat Island,92000000.0,10017322,18517322,1995
311,2013-12-25,The Secret Life of Walter Mitty,91000000.0,58236838,188536838,2013
312,1997-07-01,Men in Black,90000000.0,250690539,587790539,1997
313,1999-11-19,Toy Story 2,90000000.0,245852179,511358276,1999
314,2001-08-03,Rush Hour 2,90000000.0,226164286,347425832,2001
315,2009-12-25,Sherlock Holmes,90000000.0,209028679,498438212,2009
316,2009-07-01,Ice Age: Dawn of the Dinosaurs,90000000.0,196573705,886968695,2009
317,2000-07-21,What Lies Beneath,90000000.0,155464351,288693989,2000
318,2011-04-15,Rio,90000000.0,143619809,487519809,2011
319,2006-10-06,The Departed,90000000.0,133311000,290539042,2006
320,2000-11-03,Charlie's Angels,90000000.0,125305545,259736090,2000
321,1998-06-19,Mulan,90000000.0,120620254,303500000,1998
322,2008-08-13,Tropic Thunder,90000000.0,110461307,188163455,2008
323,2011-12-20,The Girl with the Dragon Tattoo,90000000.0,102515793,233170238,2011
324,1997-07-11,Contact,90000000.0,100920329,165900000,1997
325,2008-06-06,You Don't Mess With the Zohan,90000000.0,100018837,201802891,2008
326,1995-05-19,Die Hard: With a Vengeance,90000000.0,100012499,364480746,1995
327,2001-06-08,Atlantis: The Lost Empire,90000000.0,84052762,186049020,2001
328,2008-12-25,Valkyrie,90000000.0,83077762,203902107,2008
329,2001-06-29,Artificial Intelligence: AI,90000000.0,78616689,235900000,2001
330,2000-08-04,Hollow Man,90000000.0,73209340,191200000,2000
331,2005-04-22,The Interpreter,90000000.0,72708161,163954076,2005
332,2013-08-07,Percy Jackson: Sea of Monsters,90000000.0,68559554,200859554,2013
333,2003-07-25,Lara Croft: Tomb Raider: The Cradle of Life,90000000.0,65653758,156453758,2003
334,2001-11-21,Spy Game,90000000.0,62362560,143049560,2001
335,1997-04-04,The Saint,90000000.0,61363304,169400000,1997
336,2000-03-10,Mission to Mars,90000000.0,60874615,106000000,2000
337,1999-12-17,Bicentennial Man,90000000.0,58220776,87420776,1999
338,2004-07-07,King Arthur,90000000.0,51877963,203877963,2004
339,1997-04-25,Volcano,90000000.0,47546796,120100000,1997
340,1997-03-26,The Devil's Own,90000000.0,42885593,140900000,1997
341,2002-07-19,K-19: The Widowmaker,90000000.0,35168966,65716126,2002
342,2011-08-19,Conan the Barbarian 3D,90000000.0,21295021,63356133,2011
343,2011-10-21,The Three Musketeers 3D,90000000.0,20377913,139877913,2011
344,2010-11-24,The Nutcracker in 3D,90000000.0,195459,20466016,2010
345,1996-05-10,Twister,88000000.0,241888385,495900000,1996
346,2005-06-03,Cinderella Man,88000000.0,61649911,108539911,2005
347,2005-07-08,Fantastic Four,87500000.0,154696080,330717080,2005
348,2001-02-09,Hannibal,87000000.0,165092266,350100280,2001
349,2003-07-25,Seabiscuit,86000000.0,120277854,148715342,2003
350,2000-12-22,Cast Away,85000000.0,233632142,427230516,2000
351,2006-11-17,Happy Feet,85000000.0,198000317,385000317,2006
352,2001-12-07,Ocean's Eleven,85000000.0,183417150,450728529,2001
353,2004-07-23,The Bourne Supremacy,85000000.0,176087450,288587450,2004
354,1997-07-25,Air Force One,85000000.0,172956409,315268353,1997
355,2009-04-03,Fast & Furious,85000000.0,155064265,363064265,2009
356,2008-03-14,Horton Hears a Who,85000000.0,154529439,297133947,2008
357,2014-03-21,Divergent,85000000.0,150947895,286347895,2014
358,2012-09-28,Hotel Transylvania,85000000.0,148313048,359222014,2012
359,2007-11-21,Enchanted,85000000.0,127706877,340384141,2007
360,2012-02-10,Safe House,85000000.0,126181630,208542162,2012
361,2007-07-20,I Now Pronounce You Chuck and Larry,85000000.0,119725280,185708462,2007
362,2007-06-08,Ocean's Thirteen,85000000.0,117144465,311744465,2007
363,2009-12-25,It's Complicated,85000000.0,112735375,224614744,2009
364,1998-11-20,Enemy of the State,85000000.0,111549836,250649836,1998
365,2006-09-29,Open Season,85000000.0,85105259,189901703,2006
366,2011-11-04,Tower Heist,85000000.0,78046570,153470352,2011
367,2000-11-22,102 Dalmatians,85000000.0,66941559,66941559,2000
368,2012-03-30,Mirror Mirror,85000000.0,64935167,168611991,2012
369,2006-12-08,The Holiday,85000000.0,63280000,205190324,2006
370,2006-06-16,The Fast and the Furious: Tokyo Drift,85000000.0,62615510,157794205,2006
371,2005-12-09,Memoirs of a Geisha,85000000.0,57010853,161510853,2005
372,2001-03-16,Enemy at the Gates,85000000.0,51396781,96971293,2001
373,1993-06-18,Last Action Hero,85000000.0,50016394,137298489,1993
374,2003-09-26,The Rundown,85000000.0,47641743,80831893,2003
375,2011-11-23,Arthur Christmas,85000000.0,46462469,149655855,2011
376,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000.0,45539292,114979922,2010
377,1998-11-13,Meet Joe Black,85000000.0,44650003,44650003,1998
378,2002-02-08,Collateral Damage,85000000.0,40048332,78353508,2002
379,2002-03-15,Showtime,85000000.0,37948765,78948765,2002
380,1995-06-30,Judge Dredd,85000000.0,34687912,113487912,1995
381,2007-03-02,Zodiac,85000000.0,33080084,83080084,2007
382,2010-08-13,Scott Pilgrim vs. The World,85000000.0,31611316,48089760,2010
383,2003-03-28,The Core,85000000.0,31111260,74132631,2003
384,1997-05-09,Father's Day,85000000.0,28681080,35681080,1997
385,2002-06-14,Scooby-Doo,84000000.0,153294164,276294164,2002
386,2000-07-28,Nutty Professor II: The Klumps,84000000.0,123307945,166307945,2000
387,2013-07-19,RED 2,84000000.0,53262560,137162560,2013
388,2006-06-23,Click,82500000.0,137355633,237555633,2006
389,2006-12-15,Charlotte's Web,82500000.0,82985708,143985708,2006
